Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,24.000000,24.000000,21.870001,22.049999,17.616152,4466200
2015-01-05,21.799999,21.799999,19.840000,20.730000,16.561581,9412000
2015-01-06,20.889999,21.080000,19.010000,19.520000,15.594890,11751900
2015-01-07,20.150000,20.150000,18.760000,18.910000,15.107547,8317800
2015-01-08,19.059999,19.930000,19.000000,19.500000,15.578909,8984400
2015-01-09,19.400000,19.570000,18.940001,19.000000,15.179450,7205800
2015-01-12,18.900000,19.070000,16.920000,17.040001,13.613570,11445900
2015-01-13,17.190001,17.950001,16.270000,17.309999,13.829280,9757400
2015-01-14,17.049999,18.000000,17.049999,17.780001,14.204771,3644000
2015-01-15,17.650000,17.700001,16.850000,17.090000,13.653518,6522400
2015-01-16,16.910000,18.459999,16.900000,18.010000,14.388523,6917100
2015-01-19,18.200001,18.379999,17.770000,18.120001,14.476403,3703600
2015-01-20,18.200001,18.670000,18.010000,18.250000,14.580263,5632100
2015-01-21,18.340000,19.740000,18.110001,19.350000,15.459072,5788900
2015-01-22,19.100000,19.200001,15.700000,16.440001,13.134219,21236100
2015-01-23,16.809999,17.180000,15.990000,16.230000,12.966448,10225400
2015-01-26,16.190001,17.299999,15.580000,16.959999,13.549657,4512800
2015-01-27,16.900000,17.049999,16.540001,16.809999,13.429820,2843100
2015-01-28,16.740000,16.900000,16.440001,16.469999,13.158187,4389300
2015-01-29,16.500000,17.230000,16.480000,17.180000,13.725418,6196400
2015-01-30,16.950001,17.040001,16.600000,16.620001,13.278026,8544900
2015-02-02,16.790001,17.059999,16.650000,17.049999,13.621560,3866100
2015-02-03,17.219999,17.290001,14.520000,16.469999,13.158187,15893300
2015-02-04,16.299999,18.030001,16.150000,17.660000,14.108900,9583400
2015-02-05,17.350000,18.469999,17.350000,17.850000,14.260695,6968900
2015-02-06,17.830000,17.830000,16.459999,16.709999,13.349926,5857600
2015-02-09,16.770000,17.139999,16.170000,16.200001,12.942480,4541400
2015-02-10,16.330000,16.469999,15.550000,15.700000,12.543020,3358200
2015-02-11,15.580000,16.230000,15.550000,16.040001,12.814652,9387100
2015-02-12,16.639999,18.379999,16.549999,17.500000,13.981073,7158900
2015-02-13,18.200001,18.299999,17.190001,18.170000,14.516348,4311900
2015-02-18,17.910000,19.070000,17.910000,18.639999,14.891840,2820500
2015-02-19,18.600000,20.000000,18.520000,20.000000,15.978368,2917300
2015-02-20,19.799999,19.809999,18.920000,19.020000,15.195430,2824600
2015-02-23,21.500000,21.690001,20.200001,20.200001,16.138153,4335300
2015-02-24,20.430000,21.500000,20.200001,21.320000,17.032942,3480700
2015-02-25,21.350000,23.000000,21.350000,22.530001,17.999634,7923600
2015-02-26,22.750000,22.750000,19.650000,19.920000,15.914455,9055600
2015-02-27,18.500000,19.760000,18.290001,19.389999,15.491027,9124000
2015-03-02,19.320000,19.990000,18.379999,18.379999,14.684121,3860200
2015-03-03,18.709999,18.840000,17.709999,17.930000,14.324610,4633000
2015-03-04,17.639999,18.160000,16.700001,16.940001,13.533679,6270900
2015-03-05,17.100000,17.180000,16.480000,17.100000,13.661505,4836900
2015-03-06,16.900000,17.209999,16.580000,16.580000,13.246069,1449500
2015-03-09,16.650000,17.040001,16.139999,16.290001,13.014381,2034000
2015-03-10,16.170000,17.080000,15.880000,16.020000,12.798675,2316400
2015-03-11,16.150000,16.450001,15.730000,15.960000,12.750739,2078900
2015-03-12,15.970000,16.370001,15.840000,15.930000,12.726772,2534500
2015-03-13,15.600000,15.910000,15.250000,15.770000,12.598944,2278800
2015-03-16,15.880000,15.980000,15.220000,15.310000,12.231442,1965100
2015-03-17,15.360000,15.880000,15.220000,15.880000,12.686825,1728000
2015-03-18,15.700000,16.770000,15.550000,16.740000,13.373897,1803800
2015-03-19,17.000000,17.670000,15.720000,15.860000,12.670846,2087900
2015-03-20,16.610001,17.830000,16.610001,17.799999,14.220748,4637200
2015-03-23,17.799999,18.480000,17.379999,18.049999,14.420479,3553600
2015-03-24,18.100000,18.290001,17.879999,18.139999,14.492380,1060500
2015-03-25,18.000000,18.410000,17.430000,18.100000,14.460423,2287300
2015-03-26,17.730000,18.299999,17.240000,18.040001,14.412491,2354000
2015-03-27,18.000000,18.299999,17.580000,18.010000,14.388523,1444300
2015-03-30,18.330000,19.000000,18.000000,18.969999,15.155482,2002900
2015-03-31,18.900000,19.240000,18.110001,18.530001,14.803959,2756400
2015-04-01,18.680000,19.000000,18.660000,18.840000,15.051623,1942300
2015-04-02,18.650000,19.250000,18.650000,19.110001,15.267329,1880200
2015-04-06,19.270000,20.120001,19.020000,19.570000,15.634835,1461800
2015-04-07,19.700001,19.990000,19.209999,19.549999,15.618857,1139000
2015-04-08,19.990000,20.180000,19.620001,20.049999,16.018314,4203400
2015-04-09,19.700001,21.150000,19.700001,20.469999,16.353859,2140800
2015-04-10,20.600000,20.670000,19.879999,20.299999,16.218044,1725200
2015-04-13,20.100000,20.110001,19.200001,19.450001,15.538963,2499600
2015-04-14,19.500000,19.799999,18.940001,19.059999,15.227386,2428900
2015-04-15,19.090000,19.780001,19.090000,19.780001,15.802607,2336300
2015-04-16,19.600000,20.129999,19.299999,19.850000,15.858533,2616500
2015-04-17,19.740000,19.740000,19.139999,19.250000,15.379180,1046300
2015-04-20,19.400000,19.500000,18.830000,19.180000,15.323256,1314500
2015-04-22,19.639999,19.639999,18.650000,18.650000,14.899829,1691400
2015-04-23,18.809999,19.299999,18.700001,19.040001,15.211409,1249400
2015-04-24,19.170000,19.500000,18.799999,19.049999,15.219397,2154000
2015-04-27,19.100000,19.500000,18.809999,18.990000,15.171460,1570800
2015-04-28,19.180000,19.180000,18.770000,18.940001,15.131516,1070100
2015-04-29,18.350000,18.520000,17.770000,17.950001,14.593848,2240400
2015-04-30,17.709999,18.280001,17.530001,18.280001,14.862147,1929000
2015-05-04,18.200001,18.900000,18.200001,18.700001,15.203621,2653000
2015-05-05,18.629999,18.629999,18.180000,18.180000,14.780846,2149100
2015-05-06,18.200001,18.480000,17.799999,18.299999,14.878407,1624600
2015-05-07,18.299999,18.510000,17.920000,18.200001,14.797106,1715200
2015-05-08,18.709999,18.809999,18.010000,18.129999,14.740191,2224900
2015-05-11,18.150000,18.340000,17.570000,17.660000,14.358069,1593800
2015-05-12,17.520000,18.049999,17.520000,17.850000,14.512546,2679100
2015-05-13,17.700001,18.070000,17.139999,17.400000,14.146683,1982100
2015-05-14,17.400000,17.870001,17.230000,17.700001,14.390594,1631100
2015-05-15,17.820000,18.150000,17.570000,18.090000,14.707672,1972300
2015-05-18,18.200001,18.230000,17.500000,17.530001,14.252378,1565900
2015-05-19,17.600000,17.950001,17.370001,17.690001,14.382463,1150700
2015-05-20,17.700001,18.500000,17.690001,17.980000,14.618238,1404600
2015-05-21,17.910000,19.580000,17.910000,19.049999,15.488176,2363200
2015-05-22,19.299999,19.549999,18.200001,18.660000,15.171098,2070800
2015-05-25,18.879999,18.879999,18.129999,18.469999,15.016623,1181000
2015-05-26,18.370001,18.440001,17.520000,17.709999,14.398721,2357200
2015-05-27,17.650000,17.830000,17.450001,17.559999,14.276768,2546200
2015-05-28,17.510000,18.070000,17.250000,18.070000,14.691413,2307600
2015-05-29,18.049999,18.850000,17.950001,18.400000,14.959710,5029300
2015-06-01,18.270000,18.280001,17.570000,17.820000,14.488153,2398300
2015-06-02,17.730000,18.139999,17.730000,18.120001,14.732062,1873300
2015-06-03,18.340000,18.340000,17.590000,17.670000,14.366202,2406500
2015-06-05,17.600000,18.299999,17.510000,18.299999,14.878407,1798200
2015-06-08,18.360001,18.469999,18.000000,18.010000,14.642631,2115900
2015-06-09,18.520000,19.360001,18.520000,18.799999,15.284921,2614200
2015-06-10,19.010000,20.280001,19.000000,20.190001,16.415031,3412000
2015-06-11,20.209999,20.889999,20.170000,20.670000,16.805285,4872600
2015-06-12,20.139999,20.770000,20.010000,20.549999,16.707720,8992100
2015-06-15,20.440001,21.480000,20.360001,21.150000,17.195536,2250900
2015-06-16,20.900000,21.299999,20.750000,21.070000,17.130495,1979900
2015-06-17,21.090000,21.100000,20.309999,20.740000,16.862198,2491400
2015-06-18,20.850000,20.850000,20.299999,20.740000,16.862198,1000200
2015-06-19,20.650000,20.650000,19.820000,20.000000,16.260557,1135900
2015-06-22,20.080000,20.309999,19.760000,19.860001,16.146732,1179400
2015-06-23,20.160000,20.160000,19.150000,19.150000,15.569484,1287400
2015-06-24,19.400000,19.740000,19.040001,19.650000,15.975996,1666100
2015-06-25,19.700001,20.000000,18.750000,18.799999,15.284921,2175300
2015-06-26,18.840000,19.049999,17.600000,17.969999,14.610107,3136600
2015-06-29,17.660000,17.840000,17.020000,17.110001,13.910905,1293600
2015-06-30,17.280001,18.230000,17.280001,17.950001,14.593848,1694500
2015-07-01,18.240000,18.700001,17.600000,17.700001,14.390594,1358100
2015-07-02,17.790001,18.090000,17.780001,17.799999,14.471892,622400
2015-07-03,17.610001,18.139999,17.309999,17.680000,14.374331,874200
2015-07-06,17.600000,17.889999,17.389999,17.549999,14.268637,493200
2015-07-07,17.650000,17.650000,17.030001,17.190001,13.975948,1317500
2015-07-08,17.170000,17.620001,16.900000,17.500000,14.227986,1204100
2015-07-10,17.840000,18.320000,17.400000,18.240000,14.829627,1355800
2015-07-13,18.209999,18.820000,17.879999,18.600000,15.122317,1277100
2015-07-14,18.730000,19.049999,18.410000,18.750000,15.244270,1181500
2015-07-15,18.770000,19.080000,18.549999,18.860001,15.333704,678400
2015-07-16,18.900000,19.049999,18.559999,19.040001,15.480049,782400
2015-07-17,18.980000,19.180000,18.000000,18.080000,14.699542,1152800
2015-07-20,17.990000,18.270000,17.600000,17.600000,14.309289,1403900
2015-07-21,17.559999,17.780001,17.309999,17.320000,14.081641,811700
2015-07-22,17.209999,17.770000,17.209999,17.700001,14.390594,1896100
2015-07-23,17.350000,17.620001,16.250000,16.299999,13.252352,2209800
2015-07-24,16.200001,17.200001,16.070000,17.200001,13.984078,1798400
2015-07-27,17.110001,17.320000,16.469999,17.200001,13.984078,1028700
2015-07-28,17.139999,17.500000,16.299999,16.299999,13.252352,1494900
2015-07-29,16.290001,16.889999,15.950000,15.950000,12.967793,983200
2015-07-30,16.010000,16.120001,14.880000,15.030000,12.219807,3425300
2015-07-31,15.000000,15.300000,14.100000,14.230000,11.569385,6359200
2015-08-03,14.270000,14.410000,13.200000,13.200000,10.731966,4291400
2015-08-04,13.190000,13.600000,12.660000,12.950000,10.528709,4384200
2015-08-05,13.150000,13.480000,12.930000,12.930000,10.512449,3006100
2015-08-06,12.950000,13.190000,12.610000,12.930000,10.512449,7697800
2015-08-07,14.000000,14.110000,12.720000,12.720000,10.341714,9538800
2015-08-10,12.940000,12.980000,12.270000,12.310000,10.008371,2748900
2015-08-11,12.360000,12.570000,11.860000,12.240000,9.951459,3729700
2015-08-12,12.210000,12.570000,11.910000,12.460000,10.130325,5551600
2015-08-13,12.460000,13.390000,12.460000,13.110000,10.658793,2698400
2015-08-14,13.230000,13.470000,13.100000,13.100000,10.650665,2069200
2015-08-17,13.300000,13.770000,12.930000,13.770000,11.195393,2682300
2015-08-18,13.600000,13.680000,13.040000,13.050000,10.610012,1794600
2015-08-19,13.170000,13.170000,12.450000,12.580000,10.227888,1660400
2015-08-20,12.450000,12.600000,11.920000,12.200000,9.918939,2072900
2015-08-21,12.140000,12.590000,11.910000,12.550000,10.203499,2753400
2015-08-24,11.750000,12.750000,11.450000,12.550000,10.203499,2290300
2015-08-25,12.900000,12.920000,12.450000,12.450000,10.122196,1723800
2015-08-26,12.500000,12.640000,12.130000,12.300000,10.000241,1502100
2015-08-27,12.490000,12.990000,12.110000,12.720000,10.341714,1651300
2015-08-28,12.710000,13.170000,12.580000,12.910000,10.496189,2180700
2015-08-31,12.840000,12.840000,12.210000,12.470000,10.138456,1530200
2015-09-01,12.010000,12.650000,11.820000,12.490000,10.154717,1705900
2015-09-02,12.600000,12.820000,12.280000,12.490000,10.154717,1347700
2015-09-03,12.650000,12.720000,12.120000,12.420000,10.097806,1764900
2015-09-04,12.330000,12.490000,12.200000,12.450000,10.122196,1483200
2015-09-08,12.640000,12.720000,12.390000,12.530000,10.187237,938600
2015-09-09,12.720000,13.160000,12.520000,13.000000,10.569361,1523800
2015-09-10,12.490000,13.020000,12.380000,13.020000,10.585621,1802100
2015-09-11,13.080000,13.080000,12.440000,12.570000,10.219759,1085200
2015-09-14,12.640000,13.350000,12.380000,13.000000,10.569361,1941500
