Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,7.800000,7.800000,7.410000,7.450000,6.873131,197600
2015-01-05,7.540000,7.700000,7.350000,7.590000,7.002291,322700
2015-01-06,7.630000,7.630000,7.460000,7.490000,6.910034,392900
2015-01-07,7.600000,7.750000,7.510000,7.740000,7.140676,201700
2015-01-08,7.660000,7.750000,7.600000,7.680000,7.085322,262300
2015-01-09,7.640000,7.760000,7.300000,7.420000,6.845454,469600
2015-01-12,7.430000,7.590000,7.390000,7.500000,6.919260,196600
2015-01-13,7.530000,7.610000,7.420000,7.420000,6.845454,150400
2015-01-14,7.420000,7.460000,7.270000,7.300000,6.734746,333400
2015-01-15,7.270000,7.380000,7.200000,7.280000,6.788993,231700
2015-01-16,7.320000,7.440000,7.290000,7.340000,6.844946,319200
2015-01-19,7.320000,7.450000,7.200000,7.300000,6.807644,287000
2015-01-20,7.390000,7.390000,6.980000,7.000000,6.527878,579700
2015-01-21,7.010000,7.180000,6.920000,7.050000,6.574506,599800
2015-01-22,7.040000,7.160000,6.950000,7.020000,6.546528,370200
2015-01-23,7.000000,7.150000,6.860000,7.050000,6.574506,342100
2015-01-26,7.060000,7.070000,6.670000,7.000000,6.527878,439500
2015-01-27,7.000000,7.030000,6.640000,6.800000,6.341367,577800
2015-01-28,6.630000,6.740000,6.430000,6.610000,6.164182,550200
2015-01-29,6.590000,6.900000,6.480000,6.850000,6.387994,364200
2015-01-30,6.690000,6.800000,6.580000,6.800000,6.341367,321700
2015-02-02,6.680000,6.880000,6.680000,6.840000,6.378669,246600
2015-02-03,6.880000,6.920000,6.520000,6.560000,6.117554,429400
2015-02-04,6.640000,6.690000,6.450000,6.490000,6.052275,317700
2015-02-05,6.470000,6.530000,6.260000,6.400000,5.968346,539500
2015-02-06,6.360000,6.540000,6.010000,6.090000,5.679254,635400
2015-02-09,6.010000,6.170000,5.970000,6.030000,5.623301,612900
2015-02-10,6.080000,6.190000,6.020000,6.140000,5.725881,415700
2015-02-11,6.200000,6.210000,5.730000,5.800000,5.408813,888500
2015-02-12,5.800000,5.970000,5.720000,5.900000,5.502068,959200
2015-02-13,5.900000,6.120000,5.860000,6.090000,5.679254,671800
2015-02-18,6.160000,6.200000,5.990000,6.120000,5.707230,523700
2015-02-19,6.140000,6.400000,6.080000,6.360000,5.931043,318900
2015-02-20,6.360000,6.440000,6.310000,6.350000,5.921718,603900
2015-02-23,6.420000,6.480000,6.300000,6.420000,5.986996,538900
2015-02-24,6.420000,6.670000,6.420000,6.600000,6.154856,372600
2015-02-25,6.600000,6.600000,6.350000,6.440000,6.005648,662600
2015-02-26,6.520000,6.870000,6.310000,6.580000,6.136205,926600
2015-02-27,6.600000,6.620000,6.000000,6.050000,5.641952,1917800
2015-03-02,6.050000,6.190000,5.960000,6.080000,5.669928,458000
2015-03-03,6.070000,6.150000,5.850000,5.880000,5.483417,515600
2015-03-04,5.870000,5.900000,5.550000,5.550000,5.175675,555700
2015-03-05,5.600000,5.600000,5.450000,5.490000,5.119721,1721800
2015-03-06,5.420000,5.480000,5.100000,5.330000,4.970513,1370500
2015-03-09,5.270000,5.270000,4.930000,5.070000,4.728048,1352500
2015-03-10,5.060000,5.440000,5.050000,5.290000,4.933210,1014900
2015-03-11,5.400000,5.440000,5.230000,5.250000,4.895908,642300
2015-03-12,5.260000,5.510000,5.260000,5.500000,5.129046,889500
2015-03-13,5.490000,5.490000,5.180000,5.260000,4.905234,812100
2015-03-16,5.350000,5.350000,5.020000,5.100000,4.756025,428000
2015-03-17,5.090000,5.120000,4.930000,5.040000,4.700072,651500
2015-03-18,5.010000,5.090000,4.940000,4.990000,4.653444,870900
2015-03-19,4.960000,5.180000,4.960000,5.090000,4.746700,911700
2015-03-20,5.120000,5.180000,5.050000,5.110000,4.765351,530600
2015-03-23,5.130000,5.150000,5.060000,5.110000,4.765351,184500
2015-03-24,5.140000,5.150000,5.000000,5.070000,4.728048,444200
2015-03-25,5.050000,5.110000,4.970000,5.000000,4.662770,843600
2015-03-26,4.960000,4.980000,4.850000,4.980000,4.644119,935200
2015-03-27,4.990000,5.000000,4.910000,4.950000,4.616141,440200
2015-03-30,4.960000,5.090000,4.960000,5.040000,4.700072,1038100
2015-03-31,5.100000,5.150000,4.930000,5.090000,4.746700,589900
2015-04-01,5.090000,5.320000,5.080000,5.240000,4.886582,1057400
2015-04-02,5.210000,5.600000,5.210000,5.500000,5.129046,553800
2015-04-06,5.510000,5.690000,5.420000,5.490000,5.119721,444500
2015-04-07,5.470000,5.560000,5.340000,5.430000,5.063767,817800
2015-04-08,5.470000,5.470000,5.000000,5.060000,4.718723,2250200
2015-04-09,5.040000,5.140000,4.970000,5.010000,4.672096,1188100
2015-04-10,5.020000,5.140000,5.020000,5.070000,4.728048,625800
2015-04-13,5.100000,5.170000,5.040000,5.040000,4.700072,254900
2015-04-14,5.070000,5.120000,5.030000,5.030000,4.690746,386000
2015-04-15,5.070000,5.150000,5.030000,5.070000,4.728048,601900
2015-04-16,5.070000,5.250000,5.070000,5.200000,4.849280,599500
2015-04-17,5.190000,5.290000,5.120000,5.130000,4.784002,586600
2015-04-20,5.190000,5.200000,5.050000,5.070000,4.728048,367600
2015-04-22,5.120000,5.130000,5.030000,5.100000,4.756025,352200
2015-04-23,5.070000,5.100000,5.040000,5.090000,4.746700,401700
2015-04-24,5.100000,5.260000,5.040000,5.160000,4.811978,1001600
2015-04-27,5.190000,5.280000,5.160000,5.240000,4.886582,523900
2015-04-28,5.200000,5.210000,4.980000,5.060000,4.818830,577300
2015-04-29,5.080000,5.080000,4.930000,4.960000,4.723597,487300
2015-04-30,4.950000,5.050000,4.940000,5.030000,4.790260,378200
2015-05-04,5.070000,5.270000,5.040000,5.260000,5.009298,769400
2015-05-05,5.250000,5.470000,5.250000,5.450000,5.190242,836000
2015-05-06,5.400000,5.560000,5.270000,5.550000,5.285477,648500
2015-05-07,5.600000,5.700000,5.440000,5.490000,5.228336,613200
2015-05-08,5.520000,5.520000,4.970000,5.020000,4.780737,2224900
2015-05-11,5.050000,5.090000,4.930000,4.990000,4.752167,762100
2015-05-12,4.950000,5.010000,4.930000,4.980000,4.742644,457900
